,precision,recall,f1-score,support
0,0.9655172413793104,0.9333333333333333,0.9491525423728814,60.0
1,1.0,1.0,1.0,60.0
2,0.9354838709677419,0.9666666666666667,0.9508196721311475,60.0
accuracy,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
macro avg,0.9670003707823508,0.9666666666666667,0.9666574048346762,180.0
weighted avg,0.9670003707823508,0.9666666666666667,0.9666574048346763,180.0
