train_loss,val_loss,train_accuracy,val_accuracy,epoch_time,learning_rate
0.26437858771532774,0.5637533134884305,0.8958333333333334,0.8263888888888888,1.8380844593048096,0.001
0.09408152852362643,0.3362724317444695,0.96875,0.8888888888888888,1.6395647525787354,0.001
0.04184734500530693,0.5110374059942033,0.9913194444444444,0.8819444444444444,1.6391100883483887,0.001
0.017756835819454864,0.4445195198059082,0.9965277777777778,0.9166666666666666,1.6438989639282227,0.001
0.008140699578386071,0.18918724151121247,0.9982638888888888,0.9513888888888888,1.8202993869781494,0.001
0.020802710506460344,0.13927915795809692,0.9947916666666666,0.9652777777777778,2.591142177581787,0.001
0.016165675271622604,0.1362264816545778,0.9965277777777778,0.9791666666666666,1.6459627151489258,0.001
0.043259752599826444,0.09523879518383183,0.9895833333333334,0.9861111111111112,1.6313939094543457,0.001
0.00842762365533013,0.05151998890667326,0.9965277777777778,0.9861111111111112,1.685168743133545,0.001
0.015610040001774905,0.09210210737203145,0.9982638888888888,0.9861111111111112,1.6466295719146729,0.001
0.0026234844687375394,0.11164971214667377,1.0,0.9861111111111112,1.6522314548492432,0.001
0.0029482108821462637,0.08693159379698853,0.9982638888888888,0.9930555555555556,1.7955570220947266,0.001
0.013355689131660457,0.0912345260249923,0.9965277777777778,0.9861111111111112,2.5427119731903076,0.001
0.008690723681866075,0.09722673529379083,0.9965277777777778,0.9861111111111112,1.6449520587921143,0.001
0.0013234247805182047,0.08314427603747593,1.0,0.9791666666666666,1.651822566986084,0.001
0.0008320910923329291,0.07655965851437133,1.0,0.9861111111111112,1.640965223312378,0.001
0.00023019473067936106,0.07618960714514994,1.0,0.9861111111111112,1.631437063217163,0.001
3.751664030460233e-05,0.07354968210276841,1.0,0.9861111111111112,1.6482739448547363,0.001
3.6023788049356474e-05,0.07298699936634673,1.0,0.9861111111111112,1.6240057945251465,0.001
6.001304913954502e-05,0.07161854386241531,1.0,0.9861111111111112,2.607595205307007,0.001
