train_loss,val_loss,train_accuracy,val_accuracy,epoch_time,learning_rate
0.2705239568733507,0.9069047007295821,0.9010416666666666,0.7222222222222222,6.802844285964966,0.001
0.10857657208624813,0.08495797197489689,0.9635416666666666,0.9791666666666666,6.699728727340698,0.001
0.062190947148741946,0.07244615380962689,0.9756944444444444,0.9861111111111112,6.788893461227417,0.001
0.026976714027114213,0.07895838210566176,0.9930555555555556,0.9791666666666666,7.0320329666137695,0.001
0.02166367430214046,0.053089200519025326,0.9913194444444444,0.9861111111111112,7.062335968017578,0.001
0.03679617502105733,0.09173635776258177,0.9895833333333334,0.9652777777777778,7.114157199859619,0.001
0.018548686626470752,0.09618612739723176,0.9965277777777778,0.9652777777777778,6.854543924331665,0.001
0.0184758165172146,0.11753410460530883,0.9930555555555556,0.9722222222222222,6.7971673011779785,0.001
0.05365828388474054,5.22648286819458,0.9861111111111112,0.6666666666666666,6.754920959472656,0.001
0.05247069655969325,0.1768094931418697,0.9861111111111112,0.9444444444444444,6.751105308532715,0.001
0.0615419167249153,0.5961696886354022,0.9739583333333334,0.8125,6.791413307189941,0.001
0.050218707519686885,0.2927373747030894,0.9809027777777778,0.8958333333333334,6.714656591415405,0.001
0.05307776307583683,0.26500004447168773,0.9826388888888888,0.8958333333333334,6.720682859420776,0.001
0.028662696817061968,0.04594090518852075,0.9913194444444444,0.9861111111111112,6.7432777881622314,0.001
0.03929287327143053,0.03496464636797706,0.9809027777777778,0.9930555555555556,6.91884970664978,0.001
0.027351005940646347,0.066811071472734,0.9913194444444444,0.9722222222222222,6.990035533905029,0.001
0.023592066802343145,0.03013447331613861,0.9930555555555556,0.9930555555555556,6.922919511795044,0.001
0.045968090766109526,0.1712748342090183,0.984375,0.9444444444444444,6.8514204025268555,0.001
0.029408073854736157,0.09017984179081395,0.9930555555555556,0.9791666666666666,6.768712520599365,0.001
0.021095452416274283,0.11906581529830065,0.9947916666666666,0.9791666666666666,6.792335033416748,0.001
