Rank,Model,Benchmark Group,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Train Time (s),Infer (ms/img)
1,yolo11n_cls,Deep Architecture,0.9833333333333332,0.983421320737242,0.9833333333333334,0.9833321758455448,0.9833321758455448,75.6846,1.882479555555013
2,mobilenet_v3_small,Deep Architecture,0.9833333333333332,0.983421320737242,0.9833333333333334,0.9833321758455448,0.9833321758455448,36.64152121543884,2.541018266667076
3,vgg16,Deep Architecture,0.9833333333333332,0.9837828309536402,0.9833333333333334,0.9832336896420352,0.9832336896420354,207.43472599983207,6.238070494444198
4,densenet121,Deep Architecture,0.9777777777777776,0.977777777777778,0.977777777777778,0.977777777777778,0.9777777777777776,137.55246305465698,4.569766761111775
5,resnet18,Deep Architecture,0.9777777777777776,0.978123841305154,0.9777777777777776,0.9777716032231176,0.9777716032231176,48.70876383781433,2.587991799999953
6,efficientnet_b0,Deep Architecture,0.9777777777777776,0.978123841305154,0.9777777777777776,0.9777716032231176,0.9777716032231176,71.2491660118103,4.501207527778206
7,convnext_tiny,Deep Architecture,0.9777777777777776,0.978123841305154,0.9777777777777776,0.9777716032231176,0.9777716032231176,226.50647950172424,17.53053178888927
8,resnet50,Deep Architecture,0.9777777777777776,0.9791666666666666,0.977777777777778,0.9777530589543938,0.9777530589543938,133.82533645629883,5.197099816667914
9,Simple CNN,Original Benchmark,0.9722222222222222,0.9730888523991972,0.9722222222222222,0.9723493090222172,0.9723493090222172,27.443899725999927,1.4875608055553535
10,Neural Network,Original Benchmark,0.9722222222222222,0.9729420059933016,0.9722222222222222,0.9722595668944402,0.9722595668944402,0.4929459149998365,0.0309704833335268
11,alexnet,Deep Architecture,0.9666666666666668,0.9670003707823508,0.9666666666666668,0.9666574048346762,0.9666574048346764,35.76556730270386,2.286055727778249
12,googlenet,Deep Architecture,0.9611111111111112,0.9614754098360656,0.9611111111111108,0.9612484663286804,0.9612484663286802,62.1485447883606,2.9359240777795192
13,Logistic Regression,Original Benchmark,0.9611111111111112,0.9620130442446676,0.9611111111111108,0.9612402831478838,0.9612402831478836,0.6777991750000183,0.0335716499989757
14,Random Forest,Original Benchmark,0.9611111111111112,0.9623655913978496,0.9611111111111112,0.961183342754852,0.9611833427548522,0.631310780000149,0.2390960333337312
15,SVM,Original Benchmark,0.9333333333333332,0.9421839680055644,0.9333333333333332,0.9341256116283628,0.9341256116283628,0.1985863739998876,0.4496070888889233
16,Decision Tree,Original Benchmark,0.8944444444444445,0.8947616355756548,0.8944444444444445,0.8944763505626372,0.8944763505626371,0.276744970999971,0.0030893888896975
