,precision,recall,f1-score,support
0,0.9827586206896551,0.95,0.9661016949152542,60.0
1,1.0,1.0,1.0,60.0
2,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0
accuracy,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777
macro avg,0.978123841305154,0.9777777777777777,0.9777716032231175,180.0
weighted avg,0.9781238413051538,0.9777777777777777,0.9777716032231175,180.0
