Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Infer (ms/img),FPS,Inference Benchmark Images,Parameters,Trainable Parameters,Checkpoint Size (MB),Peak GPU Memory (MB)
resnet18,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,0.9781238413051538,0.9777777777777777,0.9777716032231175,4.093697039883027,244.27796934102724,1028,11178051,11178051,42.71717357635498,2246.3916015625
resnet50,0.9777777777777777,0.9791666666666666,0.9777777777777779,0.9777530589543938,0.9791666666666666,0.9777777777777777,0.9777530589543938,4.334513399805972,230.70640410172993,1028,23514179,23514179,90.00461101531982,2449.939453125
densenet121,0.9777777777777777,0.9777777777777779,0.9777777777777779,0.9777777777777779,0.9777777777777777,0.9777777777777777,0.9777777777777777,5.064959049611216,197.43496249525643,1028,6956931,6956931,27.12184715270996,2312.13330078125
mobilenet_v3_small,0.9833333333333333,0.9834213207372419,0.9833333333333334,0.9833321758455448,0.9834213207372418,0.9833333333333333,0.9833321758455447,3.0652735466926275,326.23515805921505,1028,1520931,1520931,5.933402061462402,2023.8203125
efficientnet_b0,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,0.9781238413051538,0.9777777777777777,0.9777716032231175,4.027609926069929,248.286209031117,1028,4011391,4011391,15.591374397277832,2302.146484375
alexnet,0.9666666666666667,0.9670003707823508,0.9666666666666667,0.9666574048346762,0.9670003707823508,0.9666666666666667,0.9666574048346763,2.8968411877432696,345.20359770879656,1028,57016131,57016131,217.50552463531494,2494.8505859375
vgg16,0.9833333333333333,0.9837828309536402,0.9833333333333334,0.9832336896420353,0.98378283095364,0.9833333333333333,0.9832336896420354,6.38649332976711,156.58045007877053,1028,134272835,134272835,512.2217302322388,5524.4287109375
googlenet,0.40555555555555556,0.7864271457085829,0.4055555555555555,0.30100321506510525,0.7864271457085829,0.40555555555555556,0.30100321506510525,3.2869844698447412,304.23021744524226,1028,9939113,9939113,38.09589099884033,2348.87890625
convnext_tiny,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,0.9781238413051538,0.9777777777777777,0.9777716032231175,5.836739049610914,171.32854347268815,1028,27822435,27822435,106.19974422454834,2534.291015625
